MOLD_TEMP;FILL_TIME;PLAST_TIME;CYCLE_TIME;CLOSING_FORCE;CLAMP_FORCE_PEAK;TORQUE_PEAK_VAL;TORQUE_MEAN_VAL;BACK_PRESS_PEAK_VAL;INJECT_PRESS_PEAK_VAL;SCREW_HOLD_POS;SHOT_VOLUME;QUALITY_INDEX
126.17;10.8;5.92;115.99;1372.58;1435.77;186.78;137.8;227.39;1442.28;13.67;29.02;0.276
126.23;10.8;4.9;115.97;1397.48;1450.65;186.78;162.6;227.39;1422.13;13.7;29.03;0.28
126;10.8;4.94;115.97;1412.67;1434.68;175.15;160.74;225.68;1431.74;13.7;29.03;0.136
125.8;10.64;6.32;115.99;1399.81;1401.2;183.52;164.61;227.39;1442.28;13.69;29.08;0.296
125.64;10.64;6.32;115.97;1373.25;1401.2;197.32;164.82;227.85;1426.31;13.31;29.03;0.268
126.17;10.8;4.96;115.97;1426.78;1435.77;197.32;137.8;225.99;1446.31;13.72;29.06;0.272
125.94;10.8;4.91;115.99;1417.32;1437.63;179.8;164.46;226.15;1444.45;13.72;29.02;0.14
125.64;10.64;4.94;115.96;1362.58;1390.04;176.55;161.67;226.3;1429.57;13.72;29.06;0.272
126.23;10.8;4.96;115.96;1408.33;1387.72;181.2;162.6;228.78;1453.44;13.31;29.08;0.292
126.38;10.8;4.99;115.96;1367.26;1393.76;185.38;162.91;225.53;1426;13.7;29.03;0.104
126.17;10.8;4.94;115.97;1408.33;1401.2;183.52;165.39;225.68;1446.31;13.72;29;0.292
125.8;11.04;4.94;115.96;1362.51;1398.71;166.32;137.8;226.46;1367.57;13.66;29.08;0.248
126.11;10.64;6.32;115.96;1408.33;1387.72;162.13;164.87;226.15;1436.08;13.72;29.08;0.296
126.14;10.8;4.9;115.92;1370.36;1399.19;193.6;163.06;229.56;1426.62;13.67;29.06;0.192
125.59;10.8;4.94;115.97;1399.81;1450.65;183.52;167.09;226.15;1442.28;13.69;29.09;0.292
126.08;10.64;4.93;115.97;1424.89;1401.2;197.32;165.04;227.85;1367.57;13.64;29.03;0.284
124.64;10.8;4.94;115.97;1372.36;1390.04;186.78;161.67;227.85;1453.44;13.64;29.03;0.3
126.28;10.8;4.96;115.99;1397.48;1398.38;186.78;144.31;225.68;1429.57;13.7;29.03;0.284
126.19;10.8;4.93;115.92;1409.57;1434.68;183.52;162.91;226.3;1440.73;13.66;29.06;0.232
126.17;10.8;4.94;115.97;1397.48;1435.77;197.32;162.6;226.46;1429.57;13.58;29.14;0.292
126.23;10.8;6.32;115.97;1427.26;1454.21;166.32;165.39;225.99;1442.28;13.7;29.42;0.28
126.08;10.64;4.9;115.97;1425.71;1399.42;186.78;137.8;227.85;1426.31;13.67;29.02;0.244
126.28;10.64;4.99;115.97;1372.21;1435.77;166.32;164.95;226.15;1453.44;13.45;29.06;0.3
125.85;10.8;4.91;115.94;1408.64;1431.27;180.27;165.7;228.94;1434.84;13.73;29;0.168
126.24;10.8;4.9;115.97;1369.12;1395.16;183.52;161.51;226.61;1452.66;13.69;29.03;0.284
126.23;10.64;4.9;115.99;1408.33;1454.21;186.78;167.09;225.68;1426.31;13.31;29.02;0.244
124.51;10.8;8.63;115.96;1418.72;1440.73;155.62;133.61;228.47;1334.4;13.36;29.37;0.2
125.59;10.64;4.96;115.97;1425.52;1454.21;197.32;165.06;227.85;1367.57;13.72;29.28;0.256
126.17;11.2;6.32;115.97;1371.69;1399.57;186.78;165.13;226.46;1432.05;13.69;29.28;0.296
125.59;10.64;4.99;115.97;1371.92;1398.28;176.55;144.31;226.46;1367.57;13.45;29.03;0.268
125.89;10.64;4.96;115.99;1411.74;1434.06;186.31;163.53;225.84;1424.45;13.69;29.05;0.208
124.96;10.64;5.92;115.96;1425.34;1423.21;176.55;144.31;229.56;1446.31;13.31;29.02;0.296
125.8;10.64;4.9;115.96;1426.39;1425.85;186.78;137.8;227.39;1436.08;13.72;29.09;0.288
126.17;11.04;5.92;115.96;1364.6;1425.85;186.78;162.6;227.85;1432.05;13.45;29.28;0.264
126.19;10.8;5.01;115.97;1361.99;1392.06;177.01;161.67;229.25;1432.98;13.66;29.08;0.236
124.96;11.2;4.93;115.96;1363.85;1425.85;162.13;161.67;226.15;1446.31;13.58;29.08;0.272
125.64;10.64;4.99;115.97;1399.81;1435.77;186.78;164.61;227.85;1432.05;13.66;29;0.3
125.8;10.64;4.95;115.99;1397.48;1454.21;181.2;166.32;226.3;1355.63;13.64;29.06;0.292
124.96;10.64;4.94;115.96;1364.2;1390.04;186.78;166.32;226.46;1355.63;13.58;29.03;0.28
124.96;10.64;4.94;115.99;1425.28;1401.2;186.78;164.91;226.3;1436.08;13.66;29.08;0.288
126.28;10.64;6.32;115.97;1363.25;1401.2;162.13;164.61;229.56;1453.44;13.67;29.28;0.288
124.64;10.64;4.93;115.99;1372.85;1435.77;197.32;162.6;228.78;1453.44;13.67;29.14;0.288
126.11;10.64;5.92;115.99;1374.7;1454.21;186.78;162.6;227.39;1422.13;13.64;29.03;0.256
124.64;10.64;6.32;115.99;1372.19;1399.94;162.13;165.39;228.78;1429.57;13.45;29.28;0.296
126.08;10.8;4.99;115.97;1363.36;1390.04;166.32;165.09;225.99;1426.31;13.67;29.06;0.296
124.64;10.64;6.32;115.97;1426.62;1450.65;166.32;137.8;227.85;1355.63;13.31;29.42;0.264
125.8;11.2;4.9;115.96;1426.25;1398.53;176.55;165;227.85;1432.05;13.58;29.03;0.276
126.28;10.64;4.9;115.99;1397.48;1401.2;197.32;164.91;225.99;1436.08;13.45;29.06;0.296
126.23;11.2;4.93;115.97;1372.94;1398.33;186.78;144.31;227.39;1432.05;13.31;29.08;0.276
125.64;10.8;5.92;115.97;1425.86;1390.04;186.78;165.06;227.85;1429.57;13.72;29.03;0.28
125.8;10.8;4.94;115.99;1408.33;1398.78;166.32;162.6;225.68;1436.08;13.67;29.28;0.284
126.23;10.64;4.94;115.97;1372.9;1450.65;197.32;167.09;225.99;1432.05;13.58;29.03;0.296
126.28;10.64;4.99;115.99;1372.75;1399.37;186.78;165.39;225.68;1422.13;13.64;29.06;0.276
125.59;10.64;4.94;115.99;1363.27;1450.65;186.78;165.19;227.85;1422.13;13.72;29.09;0.272
124.96;11.04;6.32;115.97;1408.33;1454.21;186.78;167.09;227.85;1432.05;13.72;29.09;0.288
126.11;10.8;5.92;115.99;1425.57;1454.21;186.78;144.31;227.39;1446.31;13.64;29.02;0.288
125.76;10.8;4.94;115.94;1412.67;1433.6;182.59;161.2;225.37;1450.18;13.73;29;0.208
125.85;10.8;4.94;115.96;1408.33;1436.08;177.48;159.65;225.84;1443.36;13.75;28.99;0.22
126.18;10.8;4.91;115.96;1370.67;1396.71;188.17;164.92;225.99;1438.56;13.72;29;0.284
125.88;10.64;4.94;115.96;1409.26;1437.32;183.06;159.81;226.46;1426.62;13.7;29.02;0.212
125.59;10.64;4.93;115.97;1408.33;1450.65;186.78;164.61;226.15;1367.57;13.69;29.28;0.296
125.64;10.8;4.9;115.97;1372.75;1399.68;181.2;167.09;228.78;1442.28;13.72;29.03;0.288
126.15;10.8;4.93;115.99;1371.44;1396.09;191.89;167.87;228.78;1415.62;13.66;29.08;0.124
125.59;10.64;6.32;115.97;1397.48;1399.72;186.78;166.32;227.85;1446.31;13.7;29.06;0.3
126.17;11.2;6.32;115.97;1372.17;1425.85;186.78;161.67;225.68;1436.08;13.72;29.42;0.26
125.64;10.64;4.94;115.97;1362.49;1390.04;162.13;167.09;227.39;1453.44;13.64;29.06;0.296
125.64;11.04;4.96;115.97;1408.33;1454.21;181.2;167.09;229.56;1453.44;13.7;29.08;0.272
125.78;10.8;4.9;115.96;1406.94;1434.06;178.87;164.92;226.77;1437.01;13.75;28.99;0.268
124.96;11.2;6.32;115.96;1371.74;1454.21;181.2;165.25;227.39;1367.57;13.64;29.09;0.276
126.2;10.8;4.9;115.99;1367.41;1394.07;179.8;166.01;226.3;1431.58;13.72;29.02;0.1
125.64;10.8;4.99;115.96;1426.22;1450.65;197.32;144.31;226.3;1429.57;13.7;29.03;0.264
124.96;10.64;4.95;115.99;1399.81;1435.77;186.78;166.32;229.56;1426.31;13.58;29.09;0.264
126.11;10.64;4.9;115.99;1372.35;1401.2;166.32;166.32;226.3;1446.31;13.7;29.06;0.3
125.8;11.04;5.92;115.97;1408.33;1425.85;166.32;162.6;228.78;1432.05;13.72;29.42;0.272
124.64;10.64;4.9;115.96;1427.3;1435.77;186.78;161.67;226.15;1426.31;13.45;29.09;0.264
125.98;10.64;4.99;115.96;1418.72;1441.04;190.96;160.74;225.84;1419.34;13.62;29.11;0.144
124.64;10.64;4.96;115.99;1408.33;1450.65;186.78;137.8;228.78;1422.13;13.72;29.06;0.252
126.11;11.04;4.9;115.99;1408.64;1433.29;179.8;164.3;225.22;1437.78;13.72;29.02;0.26
125.64;11.2;4.95;115.96;1397.48;1425.85;186.78;164.8;226.15;1453.44;13.58;29.08;0.276
125.59;11.2;4.99;115.96;1372.27;1435.77;186.78;144.31;226.46;1436.08;13.72;29.03;0.296
126.08;10.64;4.97;115.99;1425.88;1423.21;186.78;162.6;226.46;1367.57;13.72;29.03;0.26
125.64;10.8;4.99;115.99;1397.48;1425.85;162.13;161.67;227.85;1432.05;13.58;29.08;0.288
125.59;11.2;4.9;115.97;1372.28;1387.72;186.78;162.6;226.3;1367.57;13.67;29.02;0.28
126.11;10.64;4.95;115.99;1399.81;1398.82;186.78;166.32;225.99;1446.31;13.7;29.09;0.3
126.11;11.2;4.9;115.96;1374.7;1435.77;166.32;164.61;226.3;1367.57;13.66;29.14;0.284
124.64;10.8;4.9;115.97;1399.81;1390.04;176.55;164.61;227.39;1426.31;13.45;29.08;0.26
126.08;10.64;4.94;115.99;1397.48;1454.21;162.13;165.12;227.39;1429.57;13.64;29.03;0.3
126.08;11.04;5.92;115.97;1372.64;1435.77;183.52;164.61;226.3;1355.63;13.69;29;0.252
126.28;10.8;4.94;115.96;1426.43;1399.07;181.2;165.08;225.68;1436.08;13.58;29.08;0.268
126.17;10.8;4.94;115.97;1425.83;1387.72;186.78;144.31;226.3;1367.57;13.69;29.03;0.288
126.23;11.04;4.94;115.97;1397.48;1390.04;186.78;164.61;227.39;1453.44;13.72;29.08;0.288
124.96;11.04;4.94;115.99;1427.04;1390.04;186.78;164.94;227.39;1422.13;13.72;29.08;0.26
124.64;10.64;4.94;115.97;1408.33;1450.65;162.13;165.05;226.15;1442.28;13.66;29.03;0.292
125.59;10.64;4.99;115.99;1408.33;1423.21;183.52;164.91;226.15;1446.31;13.45;29.14;0.3
126.11;10.8;4.99;115.97;1362.61;1387.72;186.78;161.67;225.68;1422.13;13.64;29.09;0.196
126.28;10.8;6.32;115.96;1427.57;1387.72;181.2;162.6;227.85;1453.44;13.7;29.03;0.284
126.11;10.8;4.99;115.97;1408.33;1399.02;197.32;137.8;226.15;1422.13;13.72;29.06;0.284
125.77;10.8;4.91;115.96;1409.57;1431.89;175.15;163.37;225.84;1440.42;13.72;29;0.168
126.17;10.64;4.94;115.99;1374.7;1399.19;186.78;165.39;225.99;1426.31;13.69;29.03;0.292
126.23;10.64;4.94;115.96;1362.57;1435.77;162.13;164.96;226.3;1436.08;13.72;29.03;0.3
125.17;10.64;5.36;115.96;1434.68;1461.81;183.99;151.75;227.23;1388.49;13.58;29.16;0.2
126.19;11.04;4.93;115.96;1365.55;1391.44;178.87;163.68;225.06;1435.46;13.67;29.06;0.236
126.17;10.64;4.95;115.96;1426.03;1387.72;176.55;165.08;226.3;1426.31;13.72;29.03;0.28
125.64;10.64;4.95;115.99;1362.7;1450.65;181.2;164.61;229.56;1432.05;13.31;29.02;0.296
124.21;10.8;7.07;115.99;1421.51;1441.35;162.13;130.2;228.47;1300.45;13.18;29.54;0.204
125.64;10.8;4.94;115.99;1397.48;1450.65;176.55;165.12;226.46;1453.44;13.58;29.02;0.296
126.17;10.8;6.32;115.96;1372.64;1425.85;186.78;164.61;226.46;1426.31;13.72;29.02;0.24
126.15;10.8;4.94;115.96;1373.15;1399.5;184.92;161.05;226.61;1443.21;13.67;29.06;0.292
126.17;10.64;4.96;115.96;1363.17;1454.21;181.2;165.2;226.15;1367.57;13.67;29.06;0.284
125.59;10.64;5.92;115.99;1426.09;1454.21;186.78;164.61;226.46;1422.13;13.72;29.08;0.212
126.28;10.64;4.9;115.97;1408.33;1398.7;181.2;167.09;226.3;1436.08;13.67;29;0.296
125.8;10.64;4.99;115.97;1399.81;1390.04;197.32;164.91;226.3;1355.63;13.66;29.02;0.232
126.08;10.64;6.32;115.96;1363.29;1435.77;162.13;165.39;229.56;1367.57;13.58;29.08;0.26
124.97;10.8;5.58;115.97;1430.19;1457.31;173.29;149.73;228.01;1386.94;13.59;29.14;0.216
124.96;10.64;4.94;115.97;1372.82;1399.31;186.78;137.8;227.85;1446.31;13.45;29.03;0.3
126.17;10.64;4.9;115.99;1397.48;1423.21;186.78;162.6;226.3;1442.28;13.64;29.28;0.3
126.08;10.8;4.94;115.99;1426.06;1398.64;176.55;166.32;226.15;1355.63;13.64;29.03;0.276
126.17;10.8;5.92;115.97;1362.21;1425.85;162.13;161.67;227.85;1422.13;13.7;29.03;0.24
125.64;10.8;4.91;115.96;1403.84;1426.47;186.31;164.77;226.3;1422.9;13.7;29.03;0.116
126.08;10.64;4.95;115.99;1399.81;1423.21;186.78;165.39;226.3;1426.31;13.64;29.03;0.296
126.17;10.64;4.94;115.97;1425.08;1454.21;197.32;137.8;225.99;1432.05;13.66;29.09;0.276
126.11;10.64;4.96;115.99;1362.21;1454.21;186.78;162.6;227.85;1426.31;13.64;29.06;0.252
124.8;10.64;5.94;115.99;1424.61;1451.58;167.25;139.81;227.23;1388.03;13.59;29.12;0.172
124.64;10.64;4.99;115.97;1372.54;1454.21;176.55;161.67;225.99;1422.13;13.72;29.03;0.232
124.96;10.64;4.94;115.97;1363.57;1387.72;181.2;137.8;225.99;1426.31;13.72;29.14;0.264
125.56;10.8;4.9;115.96;1406.16;1426.16;178.87;165.23;225.68;1438.56;13.76;28.95;0.192
125.93;10.8;4.94;115.94;1408.02;1437.63;183.99;163.53;225.53;1438.4;13.66;29.06;0.192
124.96;10.64;4.99;115.96;1425.78;1398.65;197.32;165.06;227.39;1446.31;13.31;29.02;0.288
124.96;10.64;4.99;115.97;1374.7;1401.2;186.78;165.39;227.85;1446.31;13.31;29.03;0.296
126.17;10.64;4.94;115.96;1374.7;1399.28;176.55;162.6;227.85;1422.13;13.66;29.06;0.264
124.96;10.64;4.96;115.96;1408.33;1425.85;166.32;167.09;229.56;1442.28;13.67;29.08;0.292
125.59;10.64;4.94;115.99;1373.07;1401.2;186.78;165.39;225.99;1436.08;13.66;29;0.3
125.64;10.64;6.32;115.99;1364.42;1398.8;162.13;162.6;225.99;1442.28;13.7;29.42;0.288
124.64;10.8;4.93;115.97;1374.7;1387.72;186.78;161.67;227.39;1446.31;13.72;29.08;0.3
125.09;10.64;5.36;115.99;1434.68;1463.36;178.41;152.37;227.54;1391.28;13.58;29.16;0.24
126.17;10.64;4.9;115.99;1362.85;1399.06;186.78;166.32;226.3;1426.31;13.45;29;0.28
126.11;10.64;4.9;115.99;1362.95;1398.01;162.13;167.09;227.85;1367.57;13.66;29.09;0.288
126.28;11.2;4.9;115.99;1399.81;1450.65;176.55;162.6;228.78;1355.63;13.66;29.42;0.288
126.11;10.64;4.99;115.97;1363.87;1454.21;183.52;162.6;226.15;1453.44;13.64;29.02;0.292
126.28;10.64;6.32;115.97;1397.48;1423.21;181.2;164.94;227.39;1422.13;13.66;29.06;0.232
125.07;10.8;5.53;115.96;1431.58;1458.71;174.69;149.89;226.3;1372.06;13.44;29.28;0.196
125.64;10.64;4.94;115.99;1397.48;1425.85;176.55;161.67;229.56;1442.28;13.67;29.02;0.3
125.8;10.64;4.96;115.96;1425.53;1425.85;166.32;144.31;225.68;1436.08;13.66;29.02;0.26
126.17;10.64;4.9;115.99;1397.48;1390.04;166.32;137.8;227.39;1426.31;13.7;29.09;0.24
125.8;10.64;4.99;115.96;1399.81;1398.32;162.13;164.61;227.85;1429.57;13.72;29;0.292
124.96;10.64;4.94;115.96;1399.81;1425.85;186.78;144.31;227.85;1446.31;13.66;29.28;0.296
126.11;10.64;4.94;115.99;1399.81;1423.21;186.78;165.05;225.68;1453.44;13.72;29.06;0.292
125.59;10.8;4.99;115.96;1364.45;1435.77;166.32;167.09;227.39;1442.28;13.31;29.14;0.288
125.8;11.04;4.95;115.96;1363.93;1401.2;186.78;165.13;229.56;1429.57;13.67;29.08;0.288
126.08;10.64;4.96;115.99;1372.12;1454.21;197.32;137.8;226.3;1442.28;13.64;29.42;0.296
126.23;10.64;4.93;115.97;1399.81;1423.21;162.13;162.6;226.46;1446.31;13.45;29.06;0.288
124.64;11.2;4.95;115.97;1372.5;1435.77;176.55;165.14;225.99;1355.63;13.67;29.08;0.288
126.08;10.8;5.92;115.99;1363.83;1398.49;183.52;162.6;226.15;1436.08;13.58;29.08;0.288
126.11;11.04;5.01;115.99;1365.24;1388.65;178.41;161.82;227.39;1431.74;13.67;29.06;0.212
126.23;10.8;6.32;115.96;1362.55;1450.65;183.52;165.03;225.68;1429.57;13.66;29.09;0.296
126.08;11.2;4.93;115.97;1362.24;1390.04;186.78;161.67;227.85;1426.31;13.72;29.08;0.228
124.96;10.64;4.94;115.99;1362.12;1390.04;183.52;165.39;227.85;1436.08;13.7;29.28;0.296
124.96;11.2;4.99;115.97;1397.48;1450.65;162.13;164.61;226.46;1453.44;13.69;29.28;0.284
125.8;10.64;4.96;115.99;1425.87;1398.63;186.78;137.8;226.15;1453.44;13.45;29;0.28
124.96;10.64;4.9;115.99;1399.81;1450.65;186.78;162.6;226.46;1367.57;13.45;29.03;0.292
125.64;10.64;4.94;115.96;1408.33;1423.21;186.78;164.61;228.78;1426.31;13.58;29.02;0.28
126.23;10.8;4.9;115.99;1408.33;1423.21;186.78;166.32;228.78;1453.44;13.58;29.28;0.292
126.17;10.64;6.32;115.99;1399.81;1397.99;176.55;137.8;228.78;1432.05;13.7;29.03;0.292
125.64;11.2;4.96;115.96;1397.48;1450.65;176.55;144.31;228.78;1442.28;13.69;29.03;0.292
124.64;10.8;4.94;115.99;1408.33;1435.77;186.78;165.39;225.68;1446.31;13.69;29.03;0.256
124.64;10.64;4.94;115.97;1399.81;1399.45;166.32;162.6;227.85;1442.28;13.67;29.06;0.3
126.23;10.8;4.96;115.96;1399.81;1401.2;186.78;165.12;225.68;1429.57;13.72;29.06;0.288
125.64;10.64;4.99;115.99;1397.48;1425.85;197.32;137.8;227.85;1355.63;13.72;29;0.264
126.11;10.64;4.95;115.99;1426.17;1425.85;186.78;162.6;226.46;1355.63;13.58;29;0.252
125.64;10.64;4.99;115.97;1399.81;1398.07;186.78;164.61;226.15;1442.28;13.72;29.03;0.3
124.64;10.64;4.9;115.99;1425.75;1399.26;186.78;144.31;226.15;1422.13;13.45;29.09;0.276
125.8;10.64;4.9;115.99;1399.81;1423.21;197.32;165.16;229.56;1446.31;13.31;29.03;0.296
124.96;10.8;4.93;115.97;1374.7;1399.51;197.32;167.09;228.78;1436.08;13.69;29.08;0.288
126.08;11.04;4.9;115.99;1372.06;1401.2;183.52;166.32;227.39;1442.28;13.58;29.14;0.296
125.8;11.2;4.93;115.99;1371.78;1423.21;183.52;164.61;227.85;1446.31;13.66;29.09;0.292
124.96;10.64;4.9;115.97;1362.82;1398.8;186.78;161.67;227.39;1429.57;13.69;29;0.288
126.17;10.8;5.92;115.97;1397.48;1454.21;186.78;167.09;226.46;1422.13;13.7;29.09;0.26
125.8;10.64;4.93;115.99;1363.07;1387.72;183.52;144.31;226.46;1422.13;13.72;29.03;0.264
124.64;10.64;4.9;115.96;1363.35;1450.65;186.78;164.96;227.85;1355.63;13.69;29;0.292
126.17;11.2;4.9;115.96;1408.33;1435.77;186.78;137.8;226.15;1446.31;13.67;29.03;0.26
125.68;10.8;4.91;115.94;1405.85;1433.91;178.87;163.06;225.84;1453.13;13.81;28.91;0.212
126.11;10.8;4.9;115.97;1372.25;1387.72;181.2;165.01;227.39;1367.57;13.67;29.08;0.268
126.11;10.64;4.94;115.99;1426.17;1454.21;186.78;167.09;228.78;1426.31;13.7;29.42;0.172
124.96;10.64;4.95;115.97;1374.7;1435.77;176.55;165.39;227.85;1426.31;13.58;29.08;0.272
126.19;10.8;4.91;115.99;1369.74;1396.71;178.41;162.75;228.78;1428.79;13.67;29.06;0.28
124.96;10.8;4.9;115.96;1408.33;1425.85;186.78;164.87;227.85;1442.28;13.7;29;0.3
124.64;11.2;6.32;115.96;1373.12;1425.85;176.55;164.85;226.15;1446.31;13.31;29.03;0.28
125.59;10.64;4.93;116;1403.22;1426.62;180.27;163.84;225.53;1425.85;13.69;29.03;0.24
124.96;10.64;4.9;115.96;1397.48;1387.72;186.78;167.09;225.99;1453.44;13.66;29.08;0.296
124.96;10.64;4.95;115.97;1371.91;1425.85;176.55;162.6;229.56;1442.28;13.45;29.06;0.288
126.08;11.2;4.9;115.97;1371.99;1387.72;181.2;167.09;225.99;1429.57;13.31;29.03;0.276
125.8;10.64;4.96;115.96;1426.87;1450.65;197.32;161.67;226.15;1442.28;13.64;29.06;0.184
126.11;10.64;6.32;115.99;1408.33;1435.77;176.55;167.09;227.85;1429.57;13.66;29.03;0.264
126.06;10.8;4.99;115.94;1358.89;1387.56;177.94;161.51;228.01;1435.46;13.7;29.03;0.236
126.08;10.64;4.94;115.99;1399.81;1390.04;186.78;162.6;225.99;1429.57;13.58;29.09;0.296
124.64;10.64;6.32;115.97;1371.78;1390.04;176.55;161.67;227.85;1446.31;13.69;29.08;0.3
124.64;10.64;4.94;115.97;1408.33;1423.21;186.78;165.05;229.56;1367.57;13.58;29.09;0.296
126.08;10.64;4.99;115.96;1410.35;1440.73;190.5;162.91;226.3;1426.78;13.73;28.99;0.18
125.64;10.64;4.94;115.97;1397.48;1423.21;186.78;167.09;226.46;1429.57;13.7;29.03;0.284
126.23;11.04;5.92;115.97;1399.81;1450.65;183.52;167.09;226.46;1355.63;13.69;29.42;0.276
126.08;10.64;5.92;115.97;1399.81;1425.85;186.78;166.32;225.99;1429.57;13.72;29.02;0.292
124.64;10.64;6.32;115.96;1424.99;1454.21;183.52;165.04;227.85;1355.63;13.72;29.06;0.236
126.23;10.64;5.92;115.96;1372.47;1399.39;197.32;167.09;227.39;1446.31;13.58;29.02;0.288
126.17;10.8;4.9;115.97;1425.8;1450.65;186.78;164.91;226.46;1355.63;13.72;29.14;0.2
126.11;10.64;4.9;115.97;1408.33;1387.72;186.78;165.39;229.56;1436.08;13.45;29.06;0.296
124.64;11.2;4.94;115.99;1425.84;1454.21;186.78;161.67;226.3;1422.13;13.45;29.28;0.26
126.23;11.04;4.94;115.97;1399.81;1390.04;197.32;164.92;229.56;1429.57;13.31;29.06;0.284
124.96;10.64;4.99;115.97;1397.48;1435.77;186.78;165.15;229.56;1432.05;13.67;29.14;0.3
124.64;11.2;4.94;115.97;1425.16;1387.72;176.55;137.8;226.15;1442.28;13.64;29.06;0.276
126.17;10.64;4.94;115.97;1372.41;1425.85;186.78;167.09;229.56;1355.63;13.7;29.03;0.272
126.27;11.04;4.9;115.96;1368.96;1395;182.13;165.23;226.15;1435.61;13.72;29.02;0.276
126.08;10.8;4.94;115.94;1374.39;1398.72;180.27;161.51;225.22;1427.55;13.7;29.03;0.232
125.59;11.04;4.94;115.97;1408.33;1401.2;162.13;164.94;226.46;1429.57;13.58;29.03;0.292
125.64;10.8;4.94;115.99;1399.81;1401.2;183.52;167.09;227.85;1367.57;13.31;29.02;0.288
126.17;10.64;4.9;115.99;1372.61;1425.85;181.2;165.39;225.99;1453.44;13.45;29.03;0.292
126.11;10.64;4.94;115.97;1397.48;1425.85;197.32;161.67;225.99;1453.44;13.72;29.02;0.284
126.08;10.64;4.96;115.99;1363.65;1425.85;186.78;161.67;227.39;1355.63;13.69;29.42;0.24
124.64;10.8;4.9;115.96;1371.3;1425.85;183.52;165.08;228.78;1429.57;13.64;29.14;0.288
124.64;10.64;4.95;115.97;1399.81;1435.77;183.52;161.67;226.3;1422.13;13.31;29.09;0.268
125.59;10.64;4.94;115.99;1363.42;1401.2;186.78;165.05;226.15;1446.31;13.7;29.08;0.296
